URN,Unique Response Number
Q47,(A) 4 bites immediately or (B) 10 bites in 17 hours?
1,A
2,B
Q48,(A) 20 bites immediately or (B) 40 bites in 5 hours?
1,A
2,B
Q49,(A) 31 bites immediately or (B) 45 bites in 1 hour?
1,A
2,B
Q50,(A) 14 bites immediately or (B) 25 bites in 2 hours and 30 minutes?
1,A
2,B
Q51,(A) 35 bites immediately or (B) 50 bites in 30 minutes?
1,A
2,B
Q52,(A) 8 bites immediately or (B) 13 bites in 2 hours?
1,A
2,B
Q53,"While answering these questions, what food were you thinking of?"
Q54,Please respond to each statement below:
Q54_1,I have an intense desire to eat one of more specific foods
1,1. Disagree Strongly
2,2. Disagree Slightly
3,3. Neutral
4,4. Agree Slightly
5,5. Agree Strongly
Q54_2,I'm craving one or more specific foods
1,1. Disagree Strongly
2,2. Disagree Slightly
3,3. Neutral
4,4. Agree Slightly
5,5. Agree Strongly
Q54_3,I have an urge for one or more specific foods
1,1. Disagree Strongly
2,2. Disagree Slightly
3,3. Neutral
4,4. Agree Slightly
5,5. Agree Strongly
Q54_4,Eating one or more specific foods would make things seem just perfect
1,1. Disagree Strongly
2,2. Disagree Slightly
3,3. Neutral
4,4. Agree Slightly
5,5. Agree Strongly
Q54_5,"If I were to eat what I am craving, I am sure my mood would improve"
1,1. Disagree Strongly
2,2. Disagree Slightly
3,3. Neutral
4,4. Agree Slightly
5,5. Agree Strongly
Q54_6,Eating one or more specific foods would feel wonderful
1,1. Disagree Strongly
2,2. Disagree Slightly
3,3. Neutral
4,4. Agree Slightly
5,5. Agree Strongly
Q54_7,If I ate something I wouldn't feel so sluggish and lethargic
1,1. Disagree Strongly
2,2. Disagree Slightly
3,3. Neutral
4,4. Agree Slightly
5,5. Agree Strongly
Q54_8,Satisfying my craving would make me feel less grouchy and irritable
1,1. Disagree Strongly
2,2. Disagree Slightly
3,3. Neutral
4,4. Agree Slightly
5,5. Agree Strongly
Q54_9,I would feel more alert if I could satisfy my cravings
1,1. Disagree Strongly
2,2. Disagree Slightly
3,3. Neutral
4,4. Agree Slightly
5,5. Agree Strongly
Q54_10,"If I had one or more specific foods, I could not stop eating it"
1,1. Disagree Strongly
2,2. Disagree Slightly
3,3. Neutral
4,4. Agree Slightly
5,5. Agree Strongly
Q54_11,My desire to eat [one or more specific foods] seems overpowering
1,1. Disagree Strongly
2,2. Disagree Slightly
3,3. Neutral
4,4. Agree Slightly
5,5. Agree Strongly
Q54_12,I know I'm going to keep on thinking about one or more specific foods until I actually have it
1,1. Disagree Strongly
2,2. Disagree Slightly
3,3. Neutral
4,4. Agree Slightly
5,5. Agree Strongly
Q54_13,I am hungry
1,1. Disagree Strongly
2,2. Disagree Slightly
3,3. Neutral
4,4. Agree Slightly
5,5. Agree Strongly
Q54_14,"If i ate right now, my stomach wouldn't feel as empty"
1,1. Disagree Strongly
2,2. Disagree Slightly
3,3. Neutral
4,4. Agree Slightly
5,5. Agree Strongly
Q54_15,I feel weak because of not eating
1,1. Disagree Strongly
2,2. Disagree Slightly
3,3. Neutral
4,4. Agree Slightly
5,5. Agree Strongly
Q55,"What height are you? Please state the units, e.g., feet/inches, cm."
Q56,"How much do you weight? Please state the units, e.g., stone, lbs, kg."
Q57,"What is your waist circumference? Please state the units, e.g., cm or inches."
StartDate,Response start date
CompletionDate,Submission date
